epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198220272,2019-05-18T18:50:20.272,12.720,0.203,-0.871,0.370
1558198220352,2019-05-18T18:50:20.352,12.800,0.203,-0.872,0.367
1558198220432,2019-05-18T18:50:20.432,12.880,0.197,-0.871,0.378
1558198220512,2019-05-18T18:50:20.512,12.960,0.198,-0.871,0.379
1558198220592,2019-05-18T18:50:20.592,13.040,0.205,-0.873,0.365
1558198220672,2019-05-18T18:50:20.672,13.120,0.209,-0.870,0.361
1558198220752,2019-05-18T18:50:20.752,13.200,0.202,-0.874,0.370
1558198220832,2019-05-18T18:50:20.832,13.280,0.197,-0.870,0.379
1558198220912,2019-05-18T18:50:20.912,13.360,0.199,-0.870,0.374
1558198220992,2019-05-18T18:50:20.992,13.440,0.205,-0.872,0.367
1558198221072,2019-05-18T18:50:21.072,13.520,0.204,-0.873,0.368
1558198221152,2019-05-18T18:50:21.152,13.600,0.200,-0.871,0.372
1558198221232,2019-05-18T18:50:21.232,13.680,0.200,-0.871,0.372
1558198221312,2019-05-18T18:50:21.312,13.760,0.203,-0.872,0.369
1558198221392,2019-05-18T18:50:21.392,13.840,0.202,-0.872,0.369
1558198221472,2019-05-18T18:50:21.472,13.920,0.202,-0.872,0.371
1558198221552,2019-05-18T18:50:21.552,14.000,0.201,-0.872,0.371
1558198221632,2019-05-18T18:50:21.632,14.080,0.202,-0.871,0.370
1558198221712,2019-05-18T18:50:21.712,14.160,0.202,-0.872,0.370
1558198221792,2019-05-18T18:50:21.792,14.240,0.202,-0.872,0.372
1558198221872,2019-05-18T18:50:21.872,14.320,0.202,-0.872,0.371
1558198221952,2019-05-18T18:50:21.952,14.400,0.202,-0.872,0.370
1558198222032,2019-05-18T18:50:22.032,14.480,0.203,-0.872,0.371
1558198222112,2019-05-18T18:50:22.112,14.560,0.202,-0.871,0.370
1558198222192,2019-05-18T18:50:22.192,14.640,0.201,-0.871,0.371
1558198222272,2019-05-18T18:50:22.272,14.720,0.201,-0.872,0.371
1558198222352,2019-05-18T18:50:22.352,14.800,0.202,-0.872,0.371
1558198222432,2019-05-18T18:50:22.432,14.880,0.201,-0.872,0.372
1558198222512,2019-05-18T18:50:22.512,14.960,0.202,-0.872,0.371
1558198222592,2019-05-18T18:50:22.592,15.040,0.202,-0.872,0.371
1558198222672,2019-05-18T18:50:22.672,15.120,0.202,-0.872,0.371
1558198222752,2019-05-18T18:50:22.752,15.200,0.202,-0.872,0.371
1558198222832,2019-05-18T18:50:22.832,15.280,0.201,-0.872,0.371
1558198222912,2019-05-18T18:50:22.912,15.360,0.202,-0.872,0.372
1558198222992,2019-05-18T18:50:22.992,15.440,0.201,-0.872,0.372
1558198223072,2019-05-18T18:50:23.072,15.520,0.202,-0.872,0.371
1558198223152,2019-05-18T18:50:23.152,15.600,0.202,-0.872,0.371
1558198223232,2019-05-18T18:50:23.232,15.680,0.202,-0.871,0.372
1558198223312,2019-05-18T18:50:23.312,15.760,0.202,-0.872,0.371
1558198223392,2019-05-18T18:50:23.392,15.840,0.203,-0.872,0.371
1558198223472,2019-05-18T18:50:23.472,15.920,0.202,-0.872,0.371
1558198223552,2019-05-18T18:50:23.552,16.000,0.201,-0.872,0.372
1558198223632,2019-05-18T18:50:23.632,16.080,0.201,-0.872,0.371
1558198223712,2019-05-18T18:50:23.712,16.160,0.201,-0.873,0.371
1558198223792,2019-05-18T18:50:23.792,16.240,0.201,-0.872,0.371
1558198223872,2019-05-18T18:50:23.872,16.320,0.202,-0.872,0.370
1558198223952,2019-05-18T18:50:23.952,16.400,0.201,-0.872,0.371
1558198224032,2019-05-18T18:50:24.032,16.480,0.203,-0.872,0.371
1558198224112,2019-05-18T18:50:24.112,16.560,0.203,-0.872,0.371
1558198224192,2019-05-18T18:50:24.192,16.640,0.201,-0.872,0.371
1558198224272,2019-05-18T18:50:24.272,16.720,0.202,-0.872,0.372
1558198224352,2019-05-18T18:50:24.352,16.800,0.203,-0.871,0.371
1558198224432,2019-05-18T18:50:24.432,16.880,0.202,-0.871,0.371
1558198224512,2019-05-18T18:50:24.512,16.960,0.201,-0.872,0.371
1558198224592,2019-05-18T18:50:24.592,17.040,0.201,-0.871,0.371
1558198224672,2019-05-18T18:50:24.672,17.120,0.202,-0.872,0.370
1558198224752,2019-05-18T18:50:24.752,17.200,0.202,-0.871,0.371
1558198224832,2019-05-18T18:50:24.832,17.280,0.201,-0.871,0.371
1558198224912,2019-05-18T18:50:24.912,17.360,0.202,-0.872,0.371
1558198224992,2019-05-18T18:50:24.992,17.440,0.202,-0.871,0.371
1558198225072,2019-05-18T18:50:25.072,17.520,0.202,-0.872,0.371
1558198225152,2019-05-18T18:50:25.152,17.600,0.201,-0.871,0.371
1558198225232,2019-05-18T18:50:25.232,17.680,0.201,-0.871,0.370
1558198225312,2019-05-18T18:50:25.312,17.760,0.202,-0.871,0.371
1558198225392,2019-05-18T18:50:25.392,17.840,0.202,-0.872,0.372
1558198225472,2019-05-18T18:50:25.472,17.920,0.202,-0.872,0.371
